query,groundtruth,prediction,context_list
When did Adams graduate from college?,1755.,Adams graduated from college in 1755.,"['Young Adams went to Harvard College at age sixteen (in 1751). MSN Encarta, John Adams  His father expected him to become a minister, but Adams had doubts.  After graduating in 1755, he taught school for a few years in Worcester, allowing himself time to think about his career choice.  After much reflection, he decided to become a lawyer, and studied law in the office of James Putnam, a prominent lawyer in Worcester. In 1758, he was admitted to the bar. From an early age, he developed the habit of writing descriptions of events and impressions of men.  These litter his diary.  He put the skill to good use as a lawyer, often recording cases he observed so that he could study and reflect upon them.  His report of the 1761 argument of James Otis in the superior court of Massachusetts as to the legality of Writs of Assistance is a good example. Otisâ\x80\x99s argument inspired Adams with zeal for the cause of the American colonies.  Ferling (1992) ch 2', 'While Washington was the unanimous choice for president, Adams came in second in the electoral college and became Vice President in the presidential election of 1789. He played a minor role in the politics of the early 1790s and was reelected in 1792. Washington never asked Adams for input on policy and legal issues.  Ferling (1992) ch 15']"
Did Abraham Lincoln live in the Frontier?,Yes,"Abraham Lincoln was born in an area considered the ""frontier"" at the time.","[""For some time, Thomas Lincoln was a respected and relatively affluent citizen of the Kentucky back country. He had purchased the Sinking Spring Farm in December of 1808 for $200 cash and assumption of a debt.  The farm site is now preserved as part of Abraham Lincoln Birthplace National Historic Site.  The family belonged to a Baptist church that had seceded from a larger church over the issue of slavery. Though Lincoln was exposed to his parents' anti-slavery sentiment from a very young age, he never joined their church, or any other church for that matter.  As a youth he had little use for religion. Life of Abraham Lincoln, Colonel Ward H. Lamon, 1872 - portions reprinted in  Chapter VIII: Abraham Lincoln, Deist, and Admirer of Thomas Paine, From the book Religious Beliefs of Our Presidents by Franklin Steiner (1936)"", 'Abraham Lincoln was born on February 12, 1809, to Thomas Lincoln and Nancy Hanks, two uneducated farmers. Lincoln was born in a one-room log cabin on the   Sinking Spring Farm, in southeast Hardin County, Kentucky (now part of LaRue County). This area was at the time considered the ""frontier."" The name ""Abraham"" was chosen to commemorate his grandfather, who was killed in an American Indian raid in 1786. Donald (1995) p 21  His elder sister, Sarah Lincoln, was born in 1807; a younger brother, Thomas Jr, died in infancy. It is sometimes debated whether Lincoln had Marfan syndrome, an autosomal dominant disorder of the connective tissue characterized by long limbs and great physical stature.  Marfan syndrome: Introduction Aug 1, 2006']"
Who lost control of his party to the agrarians and silverites in 1896?,Grover Cleveland,Cleveland,"['Cleveland\'s agrarian and silverite enemies seized control of the Democratic party in 1896, repudiated his administration and the gold standard, and nominated William Jennings Bryan on a Silver Platform. Cleveland silently supported the National Democratic Party (United States) (or ""Gold Democratic"") third party ticket that promised to defend the gold standard, limit government, and oppose protectionism. The party won only 100,000 votes in the general election (just over 1 percent). Agrarians again nominated Bryan in 1900, but in 1904 the conservatives, with Cleveland\'s support, regained control of the Democratic Party and nominated Alton B. Parker.', ""Some of Cleveland's actions were controversial with political factions. Such criticisms include but are not limited to: his intervention in the Pullman Strike of 1894 in order to keep the railroads moving (a move which angered labor unions), his support of the gold standard, and opposition to free silver which alienated the agrarian wing of the Democrats.  Furthermore, critics complained that he had little imagination and seemed overwhelmed by the nation's economic disasters   depressions and strikes   in his second term. He lost control of his party to the agrarians and silverites in 1896.""]"
What body of water lies to the south of Finland?,the Gulf of Finland,The Gulf of Finland lies to the south of Finland.,"['Finland is a country of thousands of lakes and islands; 187,888 lakes (larger than 500 mÂ²) and 179,584 islands to be precise.    One of these lakes, Saimaa, is the fifth largest in Europe. The Finnish landscape is mostly flat with few hills and its highest point, the Halti at 1,324 metres, is found in the extreme north of Lapland at the border between Finland and Norway.', ""Throughout the summer there are a range of international festivals, markets and performing arts including song and dance. The receding snow and everlasting sunlight also provide an opportunity for an array of outdoor activities. These activities range from golf, fishing, yachting, lake cruises, hiking, kayaking among many others. At Finland's northernmost point, in the heart of summer, the Sun does not completely set for 73 consecutive days. Wildlife is abundant in Finland. Bird-watching is popular for those fond of flying fauna, however hunting is also popular. Elk, reindeer and hare are all common game in Finland. The sport is highly regulated and also helps the economy.""]"
"Did Mitchell Taylor , the Nunavut Government Manager of Wildlife Research , not write a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time ?",no,"Mitchell Taylor, the Nunavut Government Manager of Wildlife Research, did write a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time.","['The need for species protection has been disputed by two professionals: H. Sterling Burnett and Mitchell K. Taylor. Burnett, a Senior Fellow of the right-wing advocacy group National Center for Policy Analysis, has claimed that the total global population of polar bears increased from 5,000 to 25,000 between the 1970s and 2007.    Mitchell Taylor, the Nunavut Government Manager of Wildlife Research, wrote a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time.    These two people have attracted disproportionate media attention, even though their views are refuted by all polar bear scientists.  .   PBI Ask the Experts', 'In February 2005 the environmental group, Center for Biological Diversity, with broad support from environmentalists, petitioned the United States Fish and Wildlife Service (FWS), part of the Department of the Interior to use the Endangered Species Act and list the bears as a threatened species.     The FWS did not respond to the petition, despite being required to do so within 90 days under United States law.  On December 14 2006 the Center for Biological Diversity along with Greenpeace and the Natural Resources Defense Council filed a lawsuit in California.']"
What was more damaging than moving students into colleges?,His confrontation with Andrew Fleming West,"The confrontation with Andrew Fleming West, Dean of the graduate school, and West's ally, former President Grover Cleveland, a trustee, was more damaging than moving students into colleges.","['In 1906-10, he attempted to curtail the influence of the elitist ""social clubs"" by moving the students into colleges. This was met with resistance from many alumni. Wilson felt that to compromise ""would be to temporize with evil."" Walworth 1:109  Even more damaging was his confrontation with Andrew Fleming West, Dean of the graduate school, and West\'s ally, former President Grover Cleveland, a trustee. Wilson wanted to integrate the proposed graduate building into the same area with the undergraduate colleges; West wanted them separated. The trustees rejected Wilson\'s plan for colleges in 1908, and then endorsed West\'s plans in 1909. The national press covered the confrontation as a battle of the elites (West) versus democracy (Wilson). Wilson, after considering resignation, decided to take up invitations to move into New Jersey state politics. Walworth v 1 ch 6, 7, 8', 'Wilson had ignored the problems of demobilization after the war, and the process was chaotic and violent. Four million soldiers were sent home with little planning, little money, and few benefits.  A wartime bubble in prices of farmland burst, leaving many farmers bankrupt or deeply in debt after they purchased new land.  In 1919, major strikes in steel and meatpacking broke out.  Serious race riots hit Chicago and other cities.']"
What is one significant non-official language?,Chinese.,Italian,"['Non-official languages are important in Canada, with 5,202,245 people listing one as a first language.  Some significant non-official first languages include Chinese (853,745 first-language speakers), Italian (469,485), German (438,080), and Punjabi (271,220).', ""Nine languages have the status of government-sponsored languages: Akan, Dagaare/Wale, Dagbani, Dangme, Ewe, Ga, Gonja, Kasem, and Nzema. Though not an official language, Hausa is the lingua-franca spoken among Ghana's Muslims, who comprise about 14% of the population.""]"
Did Theodore Roosevelt go to Harvard?,Yes,"Yes, Theodore Roosevelt attended Harvard College.","['While at Harvard, Roosevelt was active in rowing, boxing and the Alpha Delta Phi and Delta Kappa Epsilon fraternities.  He also edited a student magazine. He was runner-up in the Harvard boxing championship, losing to C.S. Hanks. The sportsmanship Roosevelt showed in that fight was long remembered.  Upon graduating from Harvard, Roosevelt underwent a physical examination and his doctor advised him that due to serious heart problems, he should find a desk job and avoid strenuous activity. Roosevelt chose to embrace strenuous life instead. The Rise of Theodore Roosevelt by Edmund Morris.', 'Young ""Teedie"" , as he was nicknamed as a child, (the nickname ""Teddy"" was from his first wife, Alice Hathaway Lee, and he later harbored an intense dislike for it) was mostly home schooled by tutors and his parents. A leading biographer says: ""The most obvious drawback to the home schooling Roosevelt keely received was uneven coverage of the various areas of human knowledge."" He was solid in geography (thanks to his careful observations on all his travels) and very well read in history, strong in biology, French and German, but deficient in mathematics, Latin and Greek.  Brands T. R. p. 49â\x80\x9350  He matriculated at Harvard College in 1876, graduating magna cum laude. His father\'s death in 1878 was a tremendous blow, but Roosevelt redoubled his activities. He did well in science, philosophy and rhetoric courses but fared poorly in Latin and Greek.  He studied biology with great interest and indeed was already an accomplished naturalist and published ornithologist. He had a photographic memory and developed a life-long habit of devouring books, memorizing every detail. Brands p. 62  He was an eloquent conversationalist who, throughout his life, sought out the company of the smartest people. He could multitask in extraordinary fashion, dictating letters to one secretary and memoranda to another, while browsing through a new book.']"
Is the Asian elephant larger than the African?,no,The African elephant is typically larger than the Asian elephant.,"['African elephants, at up to 4 m (13 ft 1 in) tall and weighing 7500 kg (8.27 short tons), are usually  larger than the Asian species and they have bigger ears. Both male and female African elephants have long tusks, while their Asian counterparts have shorter ones, with those of females vanishingly small. African elephants have a dipped back, smooth forehead and two ""fingers"" at the tip of their trunks, whereas the Asian have an arched back, two humps on the forehead and only one ""finger"" at the tip of their trunks.', ""African elephants are distinguished from Asian elephants in several ways, the most noticeable being their ears. Africans' ears are much larger and are shaped like the continent of their origin. The African is typically larger than the Asian and has a concave back. Both African males and females have external tusks and are usually less hairy than their Asian cousins.""]"
Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes,Avogadro's number is commonly used to compute the results of chemical reactions.,"[""Loschmidt first calculated the value of Avogadro's number, now called Avogadro's constant, which is still sometimes referred to as the Loschmidt number in German-language countries (Loschmidt constant now has another meaning).  Avogadro's number is commonly used to compute the results of chemical reactions. It allows chemists to determine the exact amounts of substances produced in a given reaction."", ""The scientific community did not reserve great attention to his theory, so Avogadro's hypothesis was not immediately accepted when announced. André-Marie Ampère too was able three years later to achieve the same result by another method (in his Sur la détermination des proportions dans lesquelles les corps se combinent d'après le nombre et la disposition respective des molécules dont leurs particules intégrantes sont composées), but the same indifferent regard was given to his theories as well.""]"
What happened in 1896?, Becquerel accidentally discovered radioactivity.,John P. Altgeld of Illinois became a bitter foe of Democrat President Cleveland in 1896.,"['At the Pan-American Exposition in Buffalo, New York President McKinley was shot by Leon Czolgosz (Zol-gash), on September 6, 1901.  Roosevelt had been giving a speech in Vermont when he heard of the shooting. He rushed to Buffalo but after being assured the President would recover, he went on a planned family camping and hiking trip to Mount Marcy. In the mountains a runner notified him McKinley was on his death bed. Roosevelt pondered with his wife, Edith, how best to respond, not wanting to show up in Buffalo and wait on McKinley\'s death. Roosevelt was rushed by a series of stagecoaches to North Creek train station. At the station, Roosevelt was handed a telegram that said President McKinley died at 2:30 AM that morning. Roosevelt continued by train from North Creek to Buffalo. He arrived in Buffalo later that day, accepting an invitation to stay at the home of Ansley Wilcox, a prominent lawyer and friend since the early 1880s when they had both worked closely with New York State Governor Grover Cleveland on civil service reform. Wilcox recalled, ""the family and most of the household were in the country, but he Roosevelt was offered a quiet place to sleep and eat, and accepted it."" Roosevelt was a successful president. He would achieve a lot of goals in life. Some of these goals were that he won the Spanish-American War, and the Nobel Peace Prize, and he also was the youngest president in United States history. ""It is a dreadful thing to come into the Presidency this way."" Retrieved February 2 2007.', 'Cleveland refused to allow Eugene Debs to use the Pullman Strike to shut down most of the nation\'s passenger, freight and mail traffic in June 1894. He obtained an injunction in federal court, and when the strikers refused to obey it, he sent in federal troops to Chicago, Illinois and 20 other rail centers. ""If it takes the entire army and navy of the United States to deliver a postcard in Chicago,"" he thundered, ""that card will be delivered."" Most governors supported Cleveland except Democrat John P. Altgeld of Illinois, who became his bitter foe in 1896.']"
What happened in 1745?,The scale was reversed,John Adams was sent to the first and second Continental Congresses in 1774 and from 1775 to 1778.,"['Massachusetts sent Adams to the first and second Continental Congresses in 1774 and from 1775 to 1778.  In 1775 he was also appointed the chief judge of the Massachusetts Superior Court.  In June 1775, with a view of promoting the union of the colonies, he nominated George Washington of Virginia as commander-in-chief of the army then assembled around Boston. His influence in Congress was great, and almost from the beginning, he sought permanent separation from Britain. On October 5, 1775, Congress created the first of a series of committees to study naval matters.', 'In 1770, a street confrontation resulted in British soldiers killing four civilians in what became known as the Boston Massacre. The soldiers involved, who were arrested on criminal charges, had trouble finding legal counsel.  Finally, they asked Adams to defend them.  Although he feared it would hurt his reputation, he agreed. One of the soldiers, Captain Thomas Preston gave Adams a symbolic ""single guinea"" as a retaining fee, Chinard, John Adams, 58-60  the only fee he received in the case. Or, as stated in the biography of John Adams by David McCullough, Adams received nothing more than a retainer of eighteen guineas. McCullough, John Adams, pg. 66']"
Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,The most densely populated part of Canada is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,"['The population density,  , is among the lowest in the world.    The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.', ""Canada's 2006 census counted 31,612,897, an increase of 5.4% since 2001.    Population growth is from immigration and, to a lesser extent, natural growth. About three-quarters of Canada's population lives within 150 kilometres (90 mi) of the US border.    A similar proportion live in urban areas concentrated in the Quebec City-Windsor Corridor (notably: the Greater Golden Horseshoe anchored around Toronto, Montreal, Ottawa, and their environs), the BC Lower Mainland (Vancouver and environs), and the Calgary-Edmonton Corridor in Alberta.""]"
How much do sea otters weigh?,30 kg (about 65 pounds),Sea otters weigh 30 kg (about 65 pounds).,"['Sea otters eat shellfish and other invertebrates (especially clams, abalone, and sea urchins ), frequently using rocks as crude tools to smash open shells. They grow to 1 to 1.5 m (2.5 to 5 feet) in length and weigh 30 kg (about 65 pounds). Although once near extinction, they have begun to spread again, from remnant populations in California and Alaska.', 'Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates. For example Eurasian otters must eat 15% of their body-weight a day, and sea otters, 20 to 25%, depending on the temperature. In water as warm as 10Â°C an otter needs to catch 100 g of fish per hour to survive.  Most species hunt for 3 to 5 hours a day, and nursing mothers up to 8 hours a day.']"
What did Aristotle say about elephants?,the beast which pasS08_seth all others in wit and mind,"Aristotle once said the elephant was ""the beast which passeth all others in wit and mind.""","['Elephants are symbols of wisdom in Asian cultures, and are famed for their memory and high intelligence, and are thought to be on par with cetaceans    and hominids   . Aristotle once said the elephant was ""the beast which passeth all others in wit and mind.""', 'War elephants were used by armies in the Indian sub-continent, and later by the Persian empire. This use was adopted by Hellenistic armies after Alexander the Great experienced their worth against king Porus, notably in the Ptolemaic and Seleucid diadoch empires. The Carthaginian general Hannibal took elephants across the Alps when he was fighting the Romans, but brought too few elephants to be of much military use, although his horse cavalry was quite successful; he probably used a now-extinct third African (sub)species, the North African (Forest) elephant, smaller than its two southern cousins, and presumably easier to domesticate. A large elephant in full charge could cause tremendous damage to infantry, and cavalry horses would be afraid of them (see Battle of Hydaspes).']"
